score,epsilon,mem_size
-294.80991936658876,0.9950123548119847,100
-138.53171190004028,0.9911392672302657,178
-112.03931976651137,0.9864917267604663,272
-110.78217898353424,0.981473301354796,374
-370.6872075455876,0.9758946782506722,488
-118.83561292416138,0.9693778766492204,622
-278.91801739815753,0.9637234300908328,739
-224.63729485021133,0.9586290805032744,845
-218.86399279785468,0.9540862765009718,940
-60.65836192339692,0.9508953554779668,1007
-99.93383313430064,0.9461053192025695,1108
-164.42540187969473,0.9402104542272303,1233
-184.8455247713917,0.9344457604186854,1356
-51.990042682992645,0.9315533917393841,1418
-99.94590124103088,0.9274634590171371,1506
-206.5331340801477,0.9235761842979331,1590
-204.50625716479612,0.9177757997226851,1716
-128.0632640590843,0.9136093016420154,1807
-338.0327859877109,0.9078261190337715,1934
-453.21202185436516,0.9028015146320402,2045
-100.11666559700642,0.8996921384296455,2114
-154.27894536145362,0.8953838566057226,2210
-108.30830669832818,0.8895825910438,2340
-126.43418179309113,0.8848801582043737,2446
15.683636609480146,0.8818765995201494,2514
-89.686973343705,0.8774342380365326,2615
-56.031350634288444,0.8742810750487481,2687
-106.14596080169252,0.8699639694502805,2786
-143.42533750042742,0.8654517858486769,2890
-214.91927215830952,0.8615659054530135,2980
-150.35427874667607,0.8567973404710667,3091
-78.0672591223533,0.8540171997862163,3156
-76.7950191852863,0.8486112375132097,3283
-236.19221002914026,0.8439987713435552,3392
-266.26216278728685,0.8405453743469987,3474
-86.22824204822084,0.8374828995846357,3547
-149.75484247842377,0.8329725680232402,3655
-110.04324107062158,0.8282380123234966,3769
-260.63203543082363,0.8237774698465308,3877
-398.9185000411533,0.8196277766750496,3978
-155.3598809858055,0.8165598517682698,4053
-38.288556224078135,0.8101747914551811,4210
-192.66566552263814,0.8054489872341573,4327
-6.3361759567645635,0.8007907884874288,4443
-146.45175949868724,0.795801329622946,4568
-152.8556364751687,0.7923470260382134,4655
-8.251532302214557,0.7891444301515219,4736
-98.46432157448122,0.7843059644760038,4859
-128.4059405938215,0.7777452240424221,5027
-109.25379327980741,0.7715479295474383,5187
-17.394648680016815,0.7673926960740234,5295
-131.36055967583786,0.764214536173884,5378
-196.04665953753715,0.7598328026035307,5493
-81.71940155602205,0.7538536228397525,5651
-128.43437830336995,0.7507690735188881,5733
-65.36811844516905,0.746800424422464,5839
-82.72665026094882,0.7427041946396112,5949
-123.25548948810676,0.7386673662069891,6058
-106.60494473539998,0.7342485213291967,6178
-155.4567375100596,0.727196925480114,6371
-70.83076879429547,0.724112819810424,6456
-123.66378800814142,0.720681354311561,6551
-74.9599413061441,0.7167642268697839,6660
-102.08294244546342,0.7139028250456084,6740
-14.003892265365948,0.7087456180981504,6885
-89.7374312547093,0.7060927329761325,6960
-108.31478055722762,0.70162313836297,7087
-31.414089800950578,0.6987173633474358,7170
-108.10870319217648,0.6937045408267172,7314
-125.35094772306154,0.6912807584322888,7384
-108.65653155372483,0.6872828352694271,7500
-71.61889255482143,0.6830006063974918,7625
-78.9333261998693,0.6793222516597243,7733
5.773337575975702,0.6751908960853095,7855
-91.45250114892103,0.6716553444353348,7960
22.34225358036717,0.6674037398383893,8087
-111.54478268373398,0.6644403176147676,8176
-110.34669765514147,0.6612916314382882,8271
-103.80567827336901,0.6554976511356216,8447
43.60810949059575,0.6517392614069356,8562
-179.38677737642013,0.6490725342927505,8644
-81.72215798919999,0.6458028990308725,8745
-72.76745664642839,0.6406569583972458,8905
-74.72443718196651,0.6357109339193541,9060
-110.62138476436556,0.6310870263003966,9206
-79.80047133318449,0.6277510298601681,9312
-87.01220354298087,0.622842353320928,9469
-38.43511572676364,0.6182811310190186,9616
-118.08923241497257,0.6148283471832332,9728
-98.75234992621635,0.610905912878263,9856
-64.91477868589993,0.6067960815054726,9991
-53.89268682263909,0.603799787938842,10090
-84.77293568468119,0.5999177153969499,10219
-78.39333489360428,0.5956137132466216,10363
-9.056962214039828,0.5916659243049939,10496
-80.12672134525998,0.5886854688594915,10597
-177.767411869559,0.5849005723753905,10726
-127.54163710867616,0.5817796322481443,10833
-4.283697211211219,0.578877921864877,10933
-59.25273376108135,0.5759330865549979,11035
-89.81427923246329,0.5709726262647512,11208
-117.34114390760423,0.5677556470255999,11321
17.473611693568344,0.5646414849085553,11431
-21.807812883606474,0.5575714601411681,11683
-40.03443460601656,0.5538481253742598,11817
21.023282885041198,0.5487759635366593,12001
-100.97501971926287,0.5434240922989815,12197
-332.2511315341386,0.5279171235695572,12776
-21.79710002316844,0.5225596047667252,12980
-119.87317136675983,0.5184993937521439,13136
-68.93355625553528,0.5142135524832298,13302
-49.34614135701175,0.5103712813100049,13452
67.43792549094877,0.48547957333213493,14452
-320.7235612957776,0.48206889384458884,14593
91.57611969688226,0.458557543245093,15593
-86.47663356612523,0.45649861888129145,15683
33.462484757579,0.43423437571242096,16683
-15.452049705111392,0.4268078847099161,17028
77.37811346475065,0.40599171103810977,18028
-87.51338457849477,0.39958733245856315,18346
66.74714115232305,0.38009875315276154,19346
-94.87381035689494,0.36156066624876176,20346
3.7884294505051628,0.35024364841073524,20982
-14.736752733377301,0.34532247715460046,21265
-106.369215504378,0.3284804905963758,22265
-41.40097916581225,0.3124599174415445,23265
-89.73344639123371,0.2972206959089765,24265
6.828259640760785,0.2827247181013005,25265
-79.38036873470246,0.26893573471054383,26265
-130.94514135005483,0.2558192643714483,27265
-89.0224048352875,0.24334250743578592,28265
-124.62189923989136,0.23147426395204826,29265
-58.52754342386424,0.22018485564541837,30265
-94.88068034334306,0.20944605170290984,31265
-83.63125813684398,0.1992309981781022,32265
-96.88774467304309,0.18951415083892661,33265
-70.73068332020777,0.18027121129058807,34265
-52.27422521433567,0.17147906621388154,35265
-99.98608536827497,0.16311572956696485,36265
-428.4885089296468,0.15583672194614973,37178
-19.98674064686089,0.1482362900312596,38178
-83.69861567277937,0.14100654459239031,39178
-83.2505075978383,0.1341294065960029,40178
-105.8932551634267,0.1275876787549242,41178
-51.75752903873136,0.12136500252402374,42178
-125.78803085175248,0.1154458171932835,43178
-79.57476477941242,0.10981532097596948,44178
-48.077580269545024,0.10445943399460647,45178
-103.73645537260582,0.0993647630721886,46178
-68.55171190367024,0.0945185682405857,47178
-46.688287922132965,0.08990873088239423,48178
-93.0387668215914,0.08552372342656533,49178
-50.22389369192,0.08135258052203154,50178
-48.54289438514329,0.07738487161724629,51178
-72.39567683225212,0.07361067487706689,52178
-52.43639961870397,0.0700205523717593,53178
-90.01700665679871,0.06660552647607569,54178
-12.905887388441926,0.06558763381170665,54486
-73.96511388318447,0.062388809176414026,55486
-53.024260770217346,0.05934599686315018,56486
-182.3937462141294,0.05881426597625831,56666
-50.92918730242175,0.058194111876500906,56878
-76.72895087038822,0.055355882352411755,57878
-61.84731641288293,0.052656078290480995,58878
-63.16892345636767,0.052192116457869725,59055
-81.5164973629077,0.05,60055
-0.0742630565121618,0.05,61055
-65.11159680990485,0.05,62055
-154.56776996169486,0.05,62589
-80.44152335419679,0.05,63589
-32.01947208626031,0.05,64589
-84.32715485360784,0.05,65589
-79.32502368671872,0.05,66589
-56.454420477757175,0.05,67589
-84.00903309129228,0.05,68589
-100.99242664072042,0.05,69589
-76.02379098524524,0.05,70589
-71.0558018326059,0.05,71589
-81.92418145294873,0.05,72589
-63.76890228580881,0.05,73589
-103.65892441481766,0.05,74589
-52.63994547134258,0.05,75589
147.70320927619727,0.05,76488
-56.5641870773441,0.05,77488
-43.78150844645567,0.05,78488
-70.3263792443149,0.05,79488
125.08123361572027,0.05,80355
-22.526950343715935,0.05,81355
125.4831388826758,0.05,81976
-139.82905241788916,0.05,82547
-32.82049439955206,0.05,83547
-181.63678360315564,0.05,83894
-51.42445344010836,0.05,84894
-107.74999556140718,0.05,85209
-11.402292670573507,0.05,86209
-8.22469642840544,0.05,87209
0.7874982149037351,0.05,88209
-72.1059436061826,0.05,89209
-166.44309409286626,0.05,89517
-100.61671381409742,0.05,89769
-45.3749344633911,0.05,90769
36.108839518492914,0.05,91769
-157.5774983700358,0.05,92181
-8.862770833994784,0.05,93181
-130.54985484387086,0.05,93657
-189.03422422974708,0.05,94032
-119.36511334950016,0.05,94312
-247.17739962398713,0.05,95036
-139.07313889879094,0.05,95391
-178.91781307037348,0.05,96253
-185.55411693801062,0.05,96892
-81.78255719021662,0.05,97892
-151.14030525904218,0.05,98420
55.500729321023236,0.05,99420
181.11571381306874,0.05,100000
-39.15965057494071,0.05,100000
-42.22289470396321,0.05,100000
0.5909009830335075,0.05,100000
-66.54380017996117,0.05,100000
-83.23445074910396,0.05,100000
200.41763963843727,0.05,100000
-34.42250389707143,0.05,100000
213.7408059514438,0.05,100000
-36.20414488740544,0.05,100000
-47.33808277745272,0.05,100000
13.369499976250879,0.05,100000
-1.3119646107373408,0.05,100000
-17.207589000138483,0.05,100000
-20.81355576265866,0.05,100000
12.746656387808857,0.05,100000
133.7329871101303,0.05,100000
-0.7272923803486919,0.05,100000
-36.32437227852846,0.05,100000
-41.741995587113735,0.05,100000
264.8655985673333,0.05,100000
7.77013250916678,0.05,100000
-4.903033433474917,0.05,100000
-1.10423755684557,0.05,100000
-33.702738751584626,0.05,100000
-19.53096756175358,0.05,100000
-20.016020081321674,0.05,100000
132.61280763215458,0.05,100000
32.219992295924996,0.05,100000
-20.619410447807287,0.05,100000
-30.859587743134238,0.05,100000
-7.000133940759619,0.05,100000
-24.15323169526894,0.05,100000
106.52907287770905,0.05,100000
40.289610185662795,0.05,100000
115.91996173316252,0.05,100000
239.65684305988412,0.05,100000
-64.35287912008036,0.05,100000
-214.5726480810739,0.05,100000
-45.63862901773288,0.05,100000
27.436906041886903,0.05,100000
221.0266314372431,0.05,100000
-33.346028853862414,0.05,100000
-99.75513873751275,0.05,100000
245.9296040100138,0.05,100000
-43.348155038909375,0.05,100000
9.160595045647476,0.05,100000
-11.914567558890134,0.05,100000
37.0511174788132,0.05,100000
113.25891035500739,0.05,100000
3.937821990581039,0.05,100000
-59.30616090605301,0.05,100000
-8.799405575363362,0.05,100000
126.9520780370616,0.05,100000
220.49651874645292,0.05,100000
157.31396545522585,0.05,100000
-75.4908702241306,0.05,100000
-58.70481003032786,0.05,100000
-31.75436384045294,0.05,100000
151.6665233053725,0.05,100000
232.65169157624618,0.05,100000
-159.181808576412,0.05,100000
-178.9699037733816,0.05,100000
128.54102185359966,0.05,100000
82.12254674385642,0.05,100000
197.34795688743796,0.05,100000
151.82328573845274,0.05,100000
-17.385151019220785,0.05,100000
187.7498449265828,0.05,100000
191.8493783146637,0.05,100000
111.17854104372384,0.05,100000
135.53790719158997,0.05,100000
-199.9486927039138,0.05,100000
196.49136355198834,0.05,100000
182.86671527880029,0.05,100000
298.2349315574038,0.05,100000
-159.8134622133744,0.05,100000
-76.57543731755575,0.05,100000
-62.79320139929736,0.05,100000
168.2118564487027,0.05,100000
-102.06550943677026,0.05,100000
140.2401320300026,0.05,100000
95.42883657651237,0.05,100000
78.12761105532871,0.05,100000
127.58820671241104,0.05,100000
-105.33550171688434,0.05,100000
164.3890527149145,0.05,100000
-42.31620011839186,0.05,100000
-51.04175397046338,0.05,100000
-118.68276519758325,0.05,100000
-48.21874664803739,0.05,100000
206.91538659664917,0.05,100000
144.3179032441385,0.05,100000
202.1304965770206,0.05,100000
-15.075582912855573,0.05,100000
181.29010861280253,0.05,100000
139.74569874219625,0.05,100000
-64.60104049403836,0.05,100000
57.072752938452425,0.05,100000
-23.111459344639755,0.05,100000
185.97172903713823,0.05,100000
-31.251755708749496,0.05,100000
-21.525991541570928,0.05,100000
162.07687865884805,0.05,100000
21.781526363254557,0.05,100000
131.80260732152394,0.05,100000
69.24822051838383,0.05,100000
-2.4437074076122816,0.05,100000
29.979179225062058,0.05,100000
-23.29317265915521,0.05,100000
-16.73534513416725,0.05,100000
163.9986440704938,0.05,100000
191.62881056131587,0.05,100000
-16.80647128688506,0.05,100000
50.42910901322886,0.05,100000
-59.37185422752169,0.05,100000
-32.291663409572315,0.05,100000
-2.9310616673405443,0.05,100000
14.014078706993343,0.05,100000
-26.907765055855467,0.05,100000
13.831658878063802,0.05,100000
189.7651041839526,0.05,100000
160.16959176667933,0.05,100000
185.13002141578443,0.05,100000
-21.354192445170032,0.05,100000
267.7164707531792,0.05,100000
98.34967412080489,0.05,100000
-3.994154678649222,0.05,100000
-235.52144719558476,0.05,100000
181.0452394402182,0.05,100000
240.78794497102263,0.05,100000
175.48573513806033,0.05,100000
175.66285611297414,0.05,100000
141.03481969448086,0.05,100000
175.60953343999387,0.05,100000
-83.02091258143398,0.05,100000
155.61502915147523,0.05,100000
209.65079776022196,0.05,100000
79.80877554684211,0.05,100000
280.57801425824647,0.05,100000
146.61937860279755,0.05,100000
170.72897557842288,0.05,100000
212.40610597191173,0.05,100000
148.0124230615022,0.05,100000
236.84939621511788,0.05,100000
189.25722150470406,0.05,100000
153.39328336650073,0.05,100000
161.75371894176533,0.05,100000
223.0224128572532,0.05,100000
205.52975662672964,0.05,100000
134.4056814923149,0.05,100000
229.339491534049,0.05,100000
150.8434825412837,0.05,100000
101.83048874162537,0.05,100000
205.084491611495,0.05,100000
202.73342550135308,0.05,100000
188.7043845611818,0.05,100000
195.22025250212752,0.05,100000
143.16840221727705,0.05,100000
178.33287290115206,0.05,100000
180.96782995115092,0.05,100000
229.03990157538354,0.05,100000
211.67575636487766,0.05,100000
17.726086482168416,0.05,100000
250.82082712058497,0.05,100000
216.29480769704418,0.05,100000
202.82210627083197,0.05,100000
225.50404214172835,0.05,100000
150.52319295610494,0.05,100000
233.46221693915254,0.05,100000
206.81278231569266,0.05,100000
228.19719460951453,0.05,100000
202.10652738787624,0.05,100000
228.27729684550025,0.05,100000
-56.92958960607908,0.05,100000
214.18727984819347,0.05,100000
197.57773884592356,0.05,100000
217.36287249840188,0.05,100000
213.27813856448034,0.05,100000
136.51175407528387,0.05,100000
201.0002925802848,0.05,100000
50.188503551482924,0.05,100000
222.7625485442157,0.05,100000
-9.70961336872972,0.05,100000
259.2736371248499,0.05,100000
196.79378147712842,0.05,100000
166.28293491316003,0.05,100000
200.236474804654,0.05,100000
212.78787021040046,0.05,100000
245.1618423795972,0.05,100000
213.29033491909576,0.05,100000
232.71987033943012,0.05,100000
203.28688207199102,0.05,100000
238.4889080849153,0.05,100000
216.13425074274406,0.05,100000
215.0352942731535,0.05,100000
185.00993074398565,0.05,100000
223.7808113673891,0.05,100000
186.35296236598333,0.05,100000
231.723893411599,0.05,100000
186.01889018952997,0.05,100000
189.04189790286114,0.05,100000
198.65073041186366,0.05,100000
248.79238304169976,0.05,100000
184.9493923865109,0.05,100000
210.04218624520772,0.05,100000
193.51808296308647,0.05,100000
116.7042521398007,0.05,100000
191.4642689381831,0.05,100000
237.35612599878533,0.05,100000
90.92104184233209,0.05,100000
217.123020020105,0.05,100000
182.4993260248627,0.05,100000
185.15557618960145,0.05,100000
212.17326137406508,0.05,100000
145.65064197477295,0.05,100000
129.50359689725923,0.05,100000
221.31248696897643,0.05,100000
177.79881634357875,0.05,100000
135.35739147512976,0.05,100000
158.84124066652993,0.05,100000
174.52351956403228,0.05,100000
137.1580748513794,0.05,100000
264.91482617806264,0.05,100000
212.1985653181785,0.05,100000
234.5278836384328,0.05,100000
162.8876038557126,0.05,100000
163.0890090656992,0.05,100000
51.6371383726645,0.05,100000
196.17829819794673,0.05,100000
-32.332516231992116,0.05,100000
205.55679844964362,0.05,100000
181.72474932139016,0.05,100000
191.5456997314277,0.05,100000
174.5456895089593,0.05,100000
126.20566332543015,0.05,100000
118.2669304373915,0.05,100000
67.6829888622782,0.05,100000
184.84807872265472,0.05,100000
145.23677005842418,0.05,100000
153.4327633922257,0.05,100000
73.92156918765217,0.05,100000
156.5035743919965,0.05,100000
-29.25747749580239,0.05,100000
231.71111882625644,0.05,100000
199.3961916314217,0.05,100000
235.39441033007597,0.05,100000
301.695134039704,0.05,100000
60.13760654580136,0.05,100000
196.17296276672485,0.05,100000
161.69015169934792,0.05,100000
-12.45137141320529,0.05,100000
166.24952416505334,0.05,100000
-66.80550638801253,0.05,100000
-7.002763129575143,0.05,100000
211.27336528807785,0.05,100000
254.6730138622888,0.05,100000
252.15851305502648,0.05,100000
178.04862496510876,0.05,100000
179.99991115936183,0.05,100000
-43.317632109190285,0.05,100000
18.19422451130544,0.05,100000
129.78406398070513,0.05,100000
124.75719839919884,0.05,100000
-8.744814152101776,0.05,100000
-4.1994145925356,0.05,100000
207.9974427181129,0.05,100000
104.5737566093115,0.05,100000
174.82188742262184,0.05,100000
141.2420997588052,0.05,100000
173.34070959739682,0.05,100000
233.00851016283787,0.05,100000
188.23403098588741,0.05,100000
170.13415720842065,0.05,100000
131.0490919902994,0.05,100000
202.0461066443083,0.05,100000
213.95042508507692,0.05,100000
200.56999799486408,0.05,100000
223.5382198906276,0.05,100000
259.3780804540507,0.05,100000
289.6585202551408,0.05,100000
186.6464814909892,0.05,100000
224.4014299430956,0.05,100000
174.53735888775913,0.05,100000
193.29977055765215,0.05,100000
256.42587541628507,0.05,100000
115.99950081280504,0.05,100000
228.84151188513943,0.05,100000
272.95232496168444,0.05,100000
216.89226562630563,0.05,100000
220.25151939557156,0.05,100000
225.45006471089806,0.05,100000
81.62351359264484,0.05,100000
263.89864086755074,0.05,100000
266.20221625644,0.05,100000
201.70329649716408,0.05,100000
167.4025104656633,0.05,100000
271.968341185983,0.05,100000
239.4146186046966,0.05,100000
70.98858697352323,0.05,100000
190.7796622457911,0.05,100000
243.25904991926427,0.05,100000
238.74769111452966,0.05,100000
219.29035835812067,0.05,100000
200.27562707575225,0.05,100000
247.69501280749333,0.05,100000
239.14526023664845,0.05,100000
224.27378633005313,0.05,100000
234.31003617487582,0.05,100000
250.54702144684927,0.05,100000
-19.40205102227604,0.05,100000
221.36910150415616,0.05,100000
203.63166692999636,0.05,100000
215.23005499152185,0.05,100000
236.94024433476505,0.05,100000
232.7397136480768,0.05,100000
-42.86076767339496,0.05,100000
218.75777774139812,0.05,100000
225.0079589190443,0.05,100000
233.43961087356368,0.05,100000
226.87006156195838,0.05,100000
217.45187373432557,0.05,100000
186.55681985259048,0.05,100000
189.4265929078138,0.05,100000
247.90144031725364,0.05,100000
205.79154072341504,0.05,100000
258.95337513860886,0.05,100000
266.687360676695,0.05,100000
244.9132666883927,0.05,100000
261.78817919374524,0.05,100000
2.3507959854915015,0.05,100000
205.23695502014596,0.05,100000
242.5002570268813,0.05,100000
241.4877029915823,0.05,100000
-40.55510561944255,0.05,100000
224.4704502787132,0.05,100000
230.96800034726476,0.05,100000
-88.06059650466025,0.05,100000
236.7659389485176,0.05,100000
-19.057965892462647,0.05,100000
225.78815811154902,0.05,100000
189.2024414756645,0.05,100000
193.17387628076636,0.05,100000
209.78351756151545,0.05,100000
156.2956462484039,0.05,100000
184.8045564458793,0.05,100000
214.9984601010381,0.05,100000
198.77091159338084,0.05,100000
221.80313892243765,0.05,100000
248.92429691921745,0.05,100000
195.75161174980676,0.05,100000
201.7708745238434,0.05,100000
256.4334582085269,0.05,100000
193.8842895207631,0.05,100000
205.4649750666054,0.05,100000
225.96194547968597,0.05,100000
150.48081241722053,0.05,100000
169.96968973022604,0.05,100000
233.79026747031045,0.05,100000
-94.14402176514254,0.05,100000
275.302595794559,0.05,100000
239.37224077511007,0.05,100000
233.9200698036742,0.05,100000
222.83999129502294,0.05,100000
236.98596496260922,0.05,100000
213.00384550646902,0.05,100000
237.84053893715705,0.05,100000
253.24914504771806,0.05,100000
206.12585854895315,0.05,100000
257.2458895500738,0.05,100000
207.02268857870305,0.05,100000
254.8600330293434,0.05,100000
243.22650153709824,0.05,100000
182.1721934698939,0.05,100000
